Date	Open	High	Low	Close	Volume
2024-03-29	7,55	8,171	7,55	8,171	113547
2024-02-29	7,576	7,62	7,304	7,53	58705
2024-01-31	7,705	7,705	7,429	7,618	31289
2023-12-29	7,639	7,725	7,364	7,676	116504
2023-11-30	7,417	7,629	7,23	7,606	58224
2023-10-31	6,909	7,484	6,781	7,445	314656
2023-09-29	7,308	7,308	6,958	6,958	43021
2023-08-31	7,346	7,37	7,108	7,302	97569
2023-07-31	7,296	7,482	7,213	7,434	14005
2023-06-30	7,447	7,523	7,187	7,259	35879
2023-05-31	7,66	7,821	7,381	7,496	48183
2023-04-28	7,527	7,861	7,527	7,594	97957
2023-03-31	7,06	7,761	7,006	7,587	76654
2023-02-28	7,47	7,561	6,988	7,051	27283
2023-01-31	7,159	7,506	7,081	7,471	97570
2022-12-30	6,989	7,116	6,927	7,066	126046
2022-11-30	6,451	6,974	6,365	6,861	18587
2022-10-31	6,55	6,808	6,399	6,437	24180
2022-09-30	6,706	6,848	6,357	6,611	61965
2022-08-31	6,97	7,149	6,795	6,818	47720
2022-07-29	7,141	7,224	6,717	7,02	66870
2022-06-30	7,316	7,492	7,209	7,226	123828
2022-05-31	7,558	7,712	7,223	7,416	63225
2022-04-29	7,802	8,026	7,59	7,685	89846
2022-03-31	7,829	8,411	7,667	7,874	177624
2022-02-28	7,329	8,071	7,26	7,719	430904
2022-01-31	7,43	7,521	7,196	7,296	867562
2021-12-31	7,324	7,461	7,197	7,382	145161
2021-11-30	7,261	7,662	7,2	7,274	98577
2021-10-29	7,219	7,45	7,172	7,285	150006
2021-09-30	7,4	7,531	7,093	7,216	102337
2021-08-31	7,417	7,486	7,08	7,426	26756
2021-07-30	7,36	7,548	7,306	7,518	87929
2021-06-30	7,937	7,937	7,247	7,29	231370
2021-05-31	7,374	7,909	7,374	7,902	287282
2021-04-30	7,129	7,469	7,129	7,34	365991
2021-03-31	7,234	7,264	6,986	7,092	1250000
2021-02-26	7,796	7,816	7,175	7,183	2530000
2021-01-29	8,239	8,289	7,649	7,784	677405
2020-12-31	7,575	8,124	7,566	7,936	692904
2020-11-30	7,984	8,327	7,443	7,511	1060000
2020-10-30	8,108	8,24	7,876	7,989	579773
2020-09-30	8,443	8,534	7,869	8,097	279071
2020-08-31	8,528	8,863	8,125	8,406	536562
2020-07-31	7,835	8,555	7,671	8,502	1430000
2020-06-30	7,642	7,821	7,278	7,821	979593
2020-05-29	7,53	7,774	7,408	7,609	635945
2020-04-30	7,05	7,859	6,976	7,527	1090000
2020-03-31	7,092	7,486	6,426	7,136	2080000
2020-02-28	6,999	7,498	6,893	7,021	2220000
2020-01-31	6,771	7,07	6,771	7,023	729025
2019-12-31	6,53	6,79	6,53	6,75	195764
2019-11-29	6,782	6,791	6,51	6,555	350477
2019-10-31	6,599	6,822	6,599	6,798	458653
2019-09-30	6,909	7,011	6,644	6,644	389303
2019-08-30	6,395	7	6,394	6,936	894806
2019-07-31	6,326	6,564	6,326	6,504	641529
2019-06-28	6,028	6,563	6,028	6,453	667630
2019-05-31	5,859	5,983	5,851	5,972	68210
2019-04-30	5,97	6,05	5,852	5,92	78950
2019-03-29	6,08	6,128	5,96	5,995	164925
2019-02-28	6,174	6,263	6,079	6,113	515706
2019-01-31	6,029	6,187	5,975	6,165	351520
2018-12-31	5,793	6,007	5,793	5,995	519850
2018-11-30	5,829	5,843	5,658	5,747	674441
2018-10-31	5,629	5,882	5,617	5,749	254840
2018-09-28	5,732	5,761	5,61	5,66	437928
2018-08-31	5,848	5,85	5,608	5,723	72124
2018-07-31	5,996	6,065	5,818	5,853	578020
2018-06-29	6,265	6,293	6,001	6,015	266340
2018-05-31	6,334	6,421	6,207	6,285	237365
2018-04-30	6,509	6,628	6,353	6,365	279455
2018-03-30	6,402	6,608	6,378	6,436	561774
2018-02-28	6,571	6,665	6,43	6,449	594260
2018-01-31	6,463	6,688	6,457	6,586	271351
2017-12-29	6,317	6,428	6,12	6,428	668800
2017-11-30	6,345	6,431	6,295	6,328	161690
2017-10-31	6,345	6,505	6,29	6,305	429840
2017-09-29	6,595	6,77	6,4	6,405	813035
2017-08-31	6,39	6,665	6,29	6,59	614391
2017-07-31	6,23	6,375	6,07	6,37	807155
2017-06-30	6,4	6,55	6,255	6,26	1230000
2017-05-31	6,36	6,415	6,175	6,415	597986
2017-04-28	6,38	6,61	6,355	6,435	487399
2017-03-31	6,36	6,42	6,105	6,345	417730
2017-02-28	6,205	6,46	6,105	6,425	299410
2017-01-31	5,965	6,26	5,905	6,215	1720000
2016-12-30	6,04	6,085	5,81	5,95	172481
2016-11-30	6,665	6,82	6,06	6,06	1730000
2016-10-31	6,87	6,87	6,5	6,615	142589
2016-09-30	6,855	7,055	6,835	6,885	81498
2016-08-31	7,075	7,17	6,8	6,83	110483
2016-07-29	7,05	7,465	6,91	7,08	327980
2016-06-30	6,39	7,2	6,39	6,965	435532
2016-05-31	6,895	6,895	6,35	6,41	207345
2016-04-29	6,54	6,86	6,435	6,86	70665
2016-03-31	6,895	6,895	6,4	6,565	183537
2016-02-29	6,015	6,85	6,01	6,575	178263
2016-01-29	5,75	5,98	5,75	5,965	45876
2015-12-31	5,71	5,88	5,635	5,67	17709
2015-11-30	6,1	6,1	5,665	5,695	97189
2015-10-30	5,995	6,405	5,99	6,14	285459
2015-09-30	6,17	6,22	5,925	6,005	111915
2015-08-31	5,91	6,27	5,865	6,1	95352
2015-07-31	6,355	6,355	5,87	5,925	100534
2015-06-30	6,47	6,555	6,335	6,35	33045
2015-05-29	6,49	6,69	6,44	6,475	41028
2015-04-30	6,565	6,63	6,43	6,435	49234
2015-03-31	6,67	6,67	6,28	6,49	81236
2015-02-27	6,99	7,065	6,57	6,67	32179
2015-01-30	6,54	7,18	6,54	6,99	59950
2014-12-31	6,525	6,79	6,48	6,63	4240
2014-11-28	6,45	6,62	6,31	6,505	34345
2014-10-31	6,71	6,925	6,435	6,435	69436
2014-09-30	7,14	7,14	6,71	6,71	9691
2014-08-29	7,185	7,305	7,08	7,145	90
2014-07-31	7,38	7,44	7,145	7,145	150
2014-06-30	6,94	7,345	6,925	7,335	6026
2014-05-30	7,26	7,295	6,93	6,93	1134
2014-04-30	7,15	7,41	7,15	7,215	1204
2014-03-31	7,52	7,71	7,18	7,185	22784
2014-02-28	7,07	7,68	7	7,405	22572
2014-01-31	6,835	7,1	6,8	6,94	20753
2013-12-31	6,91	7,07	6,7	6,755	47904
2013-11-29	7,36	7,395	6,9	7,025	3318
2013-10-31	7,27	7,615	7,05	7,43	32599
2013-09-30	7,825	7,945	7,32	7,495	52331
2013-08-30	7,425	8,06	7,21	7,92	65053
2013-07-31	7,11	7,535	6,87	7,395	3150
2013-06-28	7,98	8,035	6,81	6,89	4614
2013-05-31	8,36	8,375	7,745	7,915	31952
2013-04-30	9,15	9,15	7,765	8,365	278760
2013-03-29	9,02	9,235	9,01	9,125	3920
2013-02-28	9,575	9,675	8,955	9,055	299575
2013-01-31	9,66	9,735	9,44	9,54	14304
2012-12-31	9,88	10,16	9,435	9,52	123404
2012-11-30	9,91	10,08	9,67	9,89	74247
2012-10-31	10,24	10,36	9,845	9,95	24313
2012-09-28	9,8208	10,33	9,8208	10,274	60144
2012-08-31	9,3343	9,721	9,2635	9,717	428
2012-07-31	9,2405	9,445	9,0697	9,432	39029
