Date;Open Price;High Price;Low Price;Last Price;AUEUAH SW Equity (EUR) - Volume
29/03/2024;55,6;60,18;55,6;60,18;106774
29/02/2024;55,56;55,96;53,96;55,43;107385
31/01/2024;56,14;56,14;54,63;55,79;147820
29/12/2023;55,69;56,7;53,79;56,23;125657
30/11/2023;54,17;55,82;52,92;55,58;162556
31/10/2023;50,49;54,9;49,675;54,9;105383
29/09/2023;53,37;53,5;50,99;50,99;98937
31/08/2023;53,56;53,56;51,84;53,23;154352
31/07/2023;52,71;54,54;52,71;53,95;86449
30/06/2023;54,2;54,67;52,22;52,92;72627
31/05/2023;54,92;56,87;53,45;54,29;116062
28/04/2023;54,01;56,72;53,96;55,06;167336
31/03/2023;51,1;55,57;50,37;54,85;239213
28/02/2023;53,62;54,51;50,27;50,86;149770
31/01/2023;51,44;54,14;51,16;53,72;162980
30/12/2022;49,78;51,07;49,665;50,86;184976
30/11/2022;46,26;50,18;45,565;49,19;187893
31/10/2022;46,945;48,69;45,65;46,155;181077
30/09/2022;48,325;49,125;45,7;47,31;593467
31/08/2022;50,39;51,27;48,47;48,72;115978
29/07/2022;51,1;51,79;47,86;50,13;254729
30/06/2022;52,36;53,34;51,07;51,89;255705
31/05/2022;54;54,56;51,22;52,56;234163
29/04/2022;55,35;56,99;53,85;54,58;210311
31/03/2022;54,73;59,23;54,24;55,73;1070000
28/02/2022;51,66;56,55;51,53;54,52;338201
31/01/2022;52,27;52,99;51,11;51,44;276023
31/12/2021;51,27;52,18;50,72;51,73;249315
30/11/2021;51,22;53,89;50,65;50,89;299951
29/10/2021;50,42;52,1;50,3;51,11;136804
30/09/2021;52,1;52,71;49,76;50,7;254119
31/08/2021;52,11;52,78;49,8;52,11;215178
30/07/2021;51,29;52,88;51;52,56;188772
30/06/2021;55,37;55,37;50,56;51;274596
31/05/2021;51,49;55,31;51,39;55,09;562462
30/04/2021;49,79;52,01;49,63;51,09;392482
31/03/2021;50,86;50,86;48,7;49,355;705281
26/02/2021;54,09;54,31;49,985;49,985;337859
29/01/2021;55,98;56,99;53;53,99;445029
31/12/2020;52,31;55,34;52,16;54,83;298462
30/11/2020;55;57,44;51,5;51,89;361072
30/10/2020;55,48;56,52;54,36;54,86;192310
30/09/2020;58,22;58,38;53,93;55,49;317527
31/08/2020;57,91;60,56;55,98;57,7;315779
31/07/2020;52,36;58,33;51,65;57,9;295911
30/06/2020;51,13;52,32;49,15;51,8;795966
29/05/2020;50,2;51,99;49,51;50,87;383097
30/04/2020;47;51,29;46,5;50,16;260918
31/03/2020;47,385;49,88;42,755;47,37;967747
28/02/2020;46,72;49,985;45,93;46,925;556325
31/01/2020;45,77;47,16;45,69;46,96;503253
31/12/2019;43,32;45,14;43,23;45,035;243541
29/11/2019;45,085;45,11;43,205;43,63;227978
31/10/2019;43,8;45,22;43,71;45,095;726909
30/09/2019;45,65;46,395;43,9;43,9;305324
30/08/2019;43,165;46,475;43,065;45,78;575232
31/07/2019;41,685;43,3;41,65;42,885;435298
28/06/2019;39,58;43,235;39,58;42,53;989600
31/05/2019;38,55;39,37;38,44;39,13;440324
30/04/2019;39,215;39,77;38,43;38,93;329468
29/03/2019;39,96;40,175;39,145;39,425;284284
28/02/2019;40,345;41,105;39,85;40,16;288406
31/01/2019;39,46;40,55;38,995;40,405;423448
31/12/2018;37,8;39,3;37,8;39,15;364808
30/11/2018;37,82;38,13;36,92;37,62;160710
31/10/2018;36,68;38,3;36,605;37,52;606686
28/09/2018;37,305;37,505;36,595;36,89;151706
31/08/2018;37,87;37,89;36,5;37,255;131994
31/07/2018;38,86;39,42;37,84;38,03;286760
29/06/2018;40,65;40,79;38,98;39;119522
31/05/2018;40,965;41,51;40,245;40,815;290750
30/04/2018;42,26;42,805;41,175;41,2;226400
30/03/2018;41,38;42,58;41,16;41,57;167634
28/02/2018;42,235;42,945;41,375;41,58;168954
31/01/2018;41,65;43,04;41,44;42,415;218340
29/12/2017;40,56;41,23;39,42;41,23;161490
30/11/2017;40,625;41,24;40,41;40,725;227244
31/10/2017;40,61;41,655;40,255;40,465;136202
29/09/2017;42,13;43,31;40,89;41,025;200356
31/08/2017;40,605;42,4;40,225;41,805;106774
31/07/2017;39,675;40,65;38,73;40,65;123050
30/06/2017;40,745;41,705;39,835;39,995;109474
31/05/2017;40,23;40,81;39,225;40,8;164828
28/04/2017;40,325;41,575;40,21;40,9;131594
31/03/2017;40,365;40,72;38,66;40,27;168958
28/02/2017;39,18;40,75;38,96;40,745;238004
31/01/2017;37,49;39,47;37,33;39,37;285102
30/12/2016;38,34;38,505;36,63;37,69;383700
30/11/2016;41,855;42,99;38,57;38,605;167024
31/10/2016;43,25;43,25;40,95;41,665;201456
30/09/2016;42,865;44,29;42,865;43,325;115020
31/08/2016;44,48;44,995;42,885;43,015;134036
29/07/2016;43,64;45,38;43,03;44,185;118278
30/06/2016;40,235;44,28;39,985;43,555;611038
31/05/2016;42,87;43,03;39,815;40,055;84260
29/04/2016;40,92;42,915;39,985;42,915;113096
31/03/2016;41,205;42,315;40,25;40,925;622032
29/02/2016;37,255;41,505;37,125;41;222094
29/01/2016;35,725;37,295;35,895;37,06;105392
31/12/2015;35,62;36;34,89;35,345;42376
30/11/2015;37,935;37,935;35,145;35,385;42020
30/10/2015;37,265;39,51;37,805;38,095;59386
30/09/2015;38,27;38,27;36,89;37,265;56740
31/08/2015;36,6;38,86;36,32;37,815;56266
31/07/2015;39,435;39,435;36,17;36,63;153702
30/06/2015;39,875;40,705;39,31;39,33;93624
29/05/2015;39,81;41,38;39,745;39,915;91236
30/04/2015;39,9;40,865;39,64;39,78;148248
31/03/2015;40,965;40,965;38,725;39,94;81242
27/02/2015;42,84;43,3;40,325;40,92;127684
30/01/2015;40,12;44,105;40,105;42,655;181028
31/12/2014;39,5;41,53;39,35;40,44;67340
28/11/2014;39,475;40,65;38,385;39,755;228360
31/10/2014;40,73;42,355;39,255;39,37;217500
30/09/2014;43,62;43,63;40,765;41,165;127212
29/08/2014;43,7;44,665;43,135;43,47;60300
31/07/2014;44,9;45,565;43,6;43,6;147142
30/06/2014;41,905;44,835;41,905;44,615;128062
30/05/2014;43,14;44,625;42,23;42,23;146574
30/04/2014;43,57;45,055;43,03;43,605;115788
31/03/2014;45,6;46,985;43,57;43,69;155986
28/02/2014;42,17;45,41;42,05;44,88;96332
31/01/2014;41,88;43,095;41,395;42,4;183626
31/12/2013;42,155;42,89;40,175;40,885;233330
29/11/2013;44,965;44,965;41,64;42,545;174732
31/10/2013;45,44;46,16;42,58;44,89;150466
30/09/2013;47,41;48,01;44,105;45,18;181590
30/08/2013;43,94;48,725;43,505;47,67;163570
31/07/2013;42,165;45,785;41,02;44,555;258918
28/06/2013;47,825;48,375;40,66;41,35;305870
31/05/2013;49,85;50,81;46,485;47,43;229816
30/04/2013;54,805;54,89;46,14;50,22;877804
29/03/2013;54,225;55,35;53,62;54,73;290654
28/02/2013;57,055;57,74;53,62;54,275;300230
31/01/2013;57,86;58,15;55,835;57,295;230988
31/12/2012;59,115;59,175;56,4;56,83;298036
30/11/2012;59,2;60,2;57,415;59,16;296168
31/10/2012;60,605;61,75;58,44;59,275;335948
28/09/2012;57,895;61,495;57,895;60,975;305566
31/08/2012;55,04;57,795;54,625;57,355;344166
31/07/2012;54,485;56,1;53,685;55,865;518702
29/06/2012;54,005;56,68;53,46;55,145;252882
31/05/2012;57,36;57,495;52,825;53,915;582454
