Date;Open Price;High Price;Low Price;Last Price;MXFS LN Equity (EUR) - Volume
29/03/2024;44,55619;45,80954;44,34623;45,74842;61512
29/02/2024;42,52736;45,13863;42,51817;44,43056;25189
31/01/2024;43,92293;43,92293;41,44658;42,70046;57514
29/12/2023;42,63922;43,81434;42,31838;43,55568;30769
30/11/2023;40,74988;43,19145;40,74988;42,63544;32400
31/10/2023;42,65421;43,18893;40,14065;40,43499;82298
29/09/2023;42,9247;43,47826;41,92082;42,30478;29621
31/08/2023;44,6409;44,65002;41,26307;42,51776;38169
31/07/2023;42,99194;44,70337;41,63325;44,70337;148500
30/06/2023;41,35688;44,10097;41,35688;42,5719;210428
31/05/2023;41,03637;42,32655;40,62642;41,45986;33963
28/04/2023;41,96896;42,58614;40,51263;41,17487;62643
31/03/2023;42,69104;43,42765;40,39164;42,267;142917
28/02/2023;44,19692;44,56351;41,84424;42,03281;156555
31/01/2023;42,39522;45,39347;42,26721;44,12793;141734
30/12/2022;42,89113;43,35398;41,26236;41,37336;49365
30/11/2022;40,46752;43,49976;40,24292;43,38342;20284
31/10/2022;40,79323;42,68081;38,96387;39,50137;30759
30/09/2022;44,99346;45,54911;40,81424;41,08784;26247
31/08/2022;44,30602;46,37085;43,94311;45,03183;11140
29/07/2022;43,26091;45,1559;43,26091;44,40522;16614
30/06/2022;44,99953;45,46304;42,56265;43,4513;7456
31/05/2022;45,93952;45,93952;42,55894;45,16399;3621
29/04/2022;46,83877;48,23163;43,92532;46,01858;86943
31/03/2022;47,99712;48,00612;42,69519;46,17849;90088
28/02/2022;49,15963;49,5026;45,67028;46,93887;85208
31/01/2022;49,14114;50,23396;47,15272;48,52037;73708
31/12/2021;48,73719;49,60142;47,17299;48,66064;105154
30/11/2021;49,14611;50,93132;47,73531;47,91354;72809
29/10/2021;48,05553;50,37542;47,16843;49,00338;154536
30/09/2021;49,21506;50,04643;47,45481;48,62587;18213
31/08/2021;48,72367;49,55616;46,78715;49,18269;36265
30/07/2021;51,48958;51,48958;46,85705;48,27979;23082
30/06/2021;50,2575;51,64993;50,04106;51,51068;42841
31/05/2021;49,25945;49,78191;47,25993;49,582;17757
30/04/2021;50,47991;50,51389;48,94455;49,42629;38575
31/03/2021;49,7467;50,72908;48,19533;49,9234;122145
26/02/2021;49,61889;53,08427;48,74172;48,9197;205544
29/01/2021;47,27006;51,3874;46,9028;48,56578;396472
31/12/2020;44,71565;46,87934;44,5407;46,80164;159861
30/11/2020;42,13966;45,6469;42,13966;44,42446;24418
30/10/2020;41,25159;42,84619;40,58709;41,73107;26384
30/09/2020;41,01726;41,69272;39,45811;40,94864;39219
31/08/2020;40,28428;41,68009;39,95276;41,55943;19083
31/07/2020;38,54758;42,09547;38,53871;39,97964;70070
30/06/2020;37,05301;39,41109;37,02605;38,63293;67086
29/05/2020;34,94722;37,31323;34,94722;36,29032;27533
30/04/2020;32,8238;37,04831;32,8238;36,65996;22389
31/03/2020;39,97317;40,71696;30,26695;33,84833;86949
28/02/2020;41,5137;44,46086;39,16917;39,16917;135284
31/01/2020;43,90331;44,96439;41,01326;41,01326;219170
31/12/2019;40,89391;43,78577;40,19661;43,15611;56047
29/11/2019;40,71851;42,28784;40,71851;40,95407;62282
31/10/2019;39,49534;40,98361;38,85746;40,32388;114160
30/09/2019;38,76435;40,51168;38,49134;39,93396;117726
30/08/2019;40,36863;40,36863;37,04235;38,60575;175201
31/07/2019;40,93324;41,10832;40,09278;40,24533;89822
28/06/2019;38,20435;40,47998;38,09693;40,10476;299372
31/05/2019;41,13147;41,43444;37,47434;38,30407;92521
30/04/2019;40,73711;41,56723;40,73711;40,94232;58349
29/03/2019;39,42807;40,43509;38,8879;40,21478;50209
28/02/2019;39,14029;40,34632;38,7381;39,24618;43043
31/01/2019;35,98589;39,48471;35,4768;39,39301;208682
31/12/2018;38,43918;38,50084;35,22349;36,33427;355349
30/11/2018;36,1318;37,81956;36,12869;37,50331;59601
31/10/2018;38,44325;38,44325;34,75781;35,9234;223742
28/09/2018;38,4867;38,4867;36,27891;38,32013;1280000
31/08/2018;39,49263;39,73087;37,6763;38,40017;308673
31/07/2018;37,99138;39,93824;37,80133;39,5173;737019
29/06/2018;40,61723;41,28872;37,77087;38,4902;567756
31/05/2018;40,10152;41,12247;39,19753;40,2322;1010000
30/04/2018;40,00163;40,53612;38,84284;40,22395;856119
30/03/2018;40,84507;41,77143;39,37308;40,20828;152424
28/02/2018;41,89438;41,89438;38,68512;40,91244;178146
31/01/2018;40,78871;42,93352;40,78871;42,21506;132650
29/12/2017;39,25752;40,50075;38,8578;40,50075;336056
30/11/2017;40,84967;41,4119;39,21851;39,58036;1540000
31/10/2017;38,84016;40,40179;38,84016;40,34169;1100000
29/09/2017;38,53517;39,16541;37,83469;38,49869;292707
31/08/2017;37,77637;38,40197;36,58743;38,17019;116438
31/07/2017;37,17971;38,4385;36,38675;37,57091;176062
30/06/2017;37,17217;37,91116;36,61417;36,82643;202194
31/05/2017;37,52063;38,18116;36,38763;36,92266;626307
28/04/2017;37,28543;37,59745;36,74856;37,07458;1570000
31/03/2017;36,62912;37,55593;35,76249;37,03842;352253
28/02/2017;35,04139;37,34267;35,02744;36,20852;32909
31/01/2017;34,12295;35,62272;34,06303;34,81547;511871
30/12/2016;33,20941;34,27894;32,73319;33,63516;321473
30/11/2016;33,2263;33,91999;31,48711;33,50788;465858
31/10/2016;33,40168;34,74903;32,98007;33,91864;61884
30/09/2016;32,63976;33,90313;32,10948;33,37638;154892
31/08/2016;32,53961;33,82222;31,76123;32,72988;42784
29/07/2016;30,93293;32,60202;30,14248;32,26226;466476
30/06/2016;29,30016;30,84078;28,73204;30,80918;16728
31/05/2016;28,93207;29,51872;28,0737;29,41467;25635
29/04/2016;29,21348;30,81076;28,65528;29,68094;60579
31/03/2016;27,88727;30,17934;27,88727;29,93586;337805
29/02/2016;27,40795;27,71625;25,05296;27,68736;364450
29/01/2016;28,68368;28,92239;25,24947;27,49239;278608
31/12/2015;31,39601;31,58243;27,97095;29,42665;37916
30/11/2015;31,01352;32,58106;30,44005;31,37311;57482
30/10/2015;29,05502;32,26217;28,40242;30,94028;365630
30/09/2015;29,09236;29,6799;27,502;28,56824;284710
31/08/2015;32,57002;33,20151;26,32492;29,58691;401927
31/07/2015;35,09389;35,21127;31,96257;33,00463;387846
30/06/2015;36,67002;37,0272;34,13094;34,68125;168007
29/05/2015;37,14771;38,0314;36,28529;36,48501;297575
30/04/2015;35,96475;39,39709;35,96475;37,19012;230516
31/03/2015;35,53408;36,43629;34,83067;36,28356;339262
27/02/2015;33,98041;35,46672;33,78955;35,46672;387394
30/01/2015;31,64863;35,26433;30,91763;33,68621;878792
31/12/2014;31,4631;31,9206;28,80326;31,56198;1200000
28/11/2014;32,18262;32,62835;31,29084;32,07479;385860
31/10/2014;31,50131;32,34379;29,60624;32,12832;195781
30/09/2014;33,05156;34,08512;31,49169;31,60979;972909
29/08/2014;31,23371;33,02509;30,88104;32,86801;881214
31/07/2014;30,55292;32,27446;30,55292;31,43444;473290
30/06/2014;30,0993;30,99579;29,85009;30,44558;99379
30/05/2014;28,44678;30,37863;28,3447;29,85118;106494
30/04/2014;28,52587;29,23311;28,06764;28,31386;558323
31/03/2014;26,99476;28,63782;26,28777;28,41998;122371
28/02/2014;26,78109;27,7579;26,40213;27,34647;625664
31/01/2014;28,56307;28,6947;26,43485;26,94928;1210000
31/12/2013;29,71736;29,71736;28,03317;28,62427;1040000
29/11/2013;29,91478;30,15191;28,4971;29,55984;1570000
31/10/2013;28,78373;30,28597;28,65346;29,83675;790755
30/09/2013;27,69989;30,24787;27,53777;28,60099;192515
30/08/2013;28,1671;28,62855;26,46066;27,18873;319938
31/07/2013;28,2289;28,81266;27,0883;27,73426;2570000
28/06/2013;29,67747;29,91355;25,8514;27,93156;1540000
31/05/2013;29,74981;31,80228;29,74981;30,08635;900988
30/04/2013;31,2958;31,40496;29,31957;30,49856;2620000
29/03/2013;31,26054;32,00924;30,27594;31,23538;501593
28/02/2013;30,2904;31,38937;30,24651;31,2199;580439
31/01/2013;31,89308;32,33926;30,38869;30,48071;1530000
31/12/2012;29,72807;31,20406;29,66697;31,01462;513427
30/11/2012;30,01392;30,97477;29,35628;30,02615;785549
31/10/2012;30,16981;30,49546;29,53915;29,69931;543735
28/09/2012;29,1078;30,39764;28,63149;29,96272;452647
31/08/2012;29,89024;35,6694;28,93167;29,23395;1620000
31/07/2012;28,59752;30,12352;28,47952;29,92443;209757
29/06/2012;27,97158;28,82918;27,32702;28,56296;435423
31/05/2012;29,67025;30,15113;27,15537;27,90359;235050
