Date;Open Price;High Price;Low Price;Last Price;SXRP GR Equity (EUR) - Volume
29/03/2024;125,62;127,29;125,43;126,72;638
29/02/2024;127,23;127,72;125,25;125,82;243
31/01/2024;128,04;128,04;125,795;127,38;164
29/12/2023;124,66;128,59;124,565;127,69;1515
30/11/2023;122,36;125,24;122,175;124,59;200
31/10/2023;121,11;122,82;120,55;122,36;1018
29/09/2023;122,95;123,56;120,595;121,52;1616
31/08/2023;122,29;123,47;121,34;123,1;40
31/07/2023;122,24;123,43;120,33;122,58;845
30/06/2023;123,39;123,78;121,11;122,29;44
31/05/2023;122,61;123,95;121,4;123,42;156
28/04/2023;122,54;124,02;121,09;122,84;5462
31/03/2023;119,76;124,69;118,65;122,65;752
28/02/2023;122,34;123,925;119,34;120,19;41
31/01/2023;120,02;124,215;120,02;122,17;889
30/12/2022;123,85;125,18;119,03;120,88;25262
30/11/2022;122,645;124,63;120,35;123,85;1006
31/10/2022;122,33;124,75;119,75;122,65;158
30/09/2022;125,59;126,625;120,28;122,33;200
31/08/2022;130,48;131,63;125,36;125,59;
29/07/2022;127,49;130,72;126,61;130,48;
30/06/2022;128,4;129,035;123,01;127,26;24
31/05/2022;129,48;130,7;128,075;128,4;90
29/04/2022;131,96;132,46;129,33;129,5;698
31/03/2022;134,65;137,6;131,295;131,96;2444
28/02/2022;135,93;136,59;133,04;134,89;56
31/01/2022;137,1;137,66;135,34;135,93;196
31/12/2021;138,23;139,09;135,95;137,32;386
30/11/2021;136,73;138,84;136,53;138,27;562
29/10/2021;138,28;138,62;136,76;136,9;140
30/09/2021;138,9;139,26;137,995;138,23;60
31/08/2021;139,36;139,9;138,895;138,9;279
30/07/2021;138,29;139,54;138,29;139,36;72
30/06/2021;138,13;138,91;137,59;138,3;322
31/05/2021;138,14;138,54;137,31;138,12;4
30/04/2021;138,68;139,08;138,01;138,14;22
31/03/2021;138,35;139,32;138,295;138,68;775
26/02/2021;139,4;139,6;137,8;138,37;484
29/01/2021;139,65;139,81;138,98;139,24;618
31/12/2020;139,67;140,09;139,24;139,66;322
30/11/2020;139,49;139,94;138,82;139,48;20
30/10/2020;138,93;139,86;138,11;139,4;990
30/09/2020;138,11;139,12;137,73;138,75;1190
31/08/2020;138,38;138,77;137,92;137,94;160
31/07/2020;137,69;138,82;137,04;138,41;166
30/06/2020;136,8;138,08;136,58;137,7;97
29/05/2020;136,63;137,19;135,62;136,97;1180
30/04/2020;136,6;136,86;130,72;136,68;
31/03/2020;138,45;139,03;128,98;135,91;2676
28/02/2020;138,5;138,59;136,75;138,3;7365
31/01/2020;136,59;138,54;136,48;138,43;698
31/12/2019;137,58;137,75;136,49;137,17;151
29/11/2019;138,36;138,37;136,49;137,41;3
31/10/2019;138,92;139,24;137,31;138,22;408
30/09/2019;139,28;139,725;137,68;138,99;34
30/08/2019;138,05;139,66;137,525;139,47;500
31/07/2019;136,66;138,47;136,57;138,04;2027
28/06/2019;135,36;136,945;135,06;136,66;888
31/05/2019;134,86;135,41;133,84;135,38;16
30/04/2019;134,89;135,16;134,35;134,99;20
29/03/2019;133,86;135,14;133,64;134,93;110
28/02/2019;134,15;134,2;133,18;133,83;
31/01/2019;133,35;134,24;132,79;134,06;98
31/12/2018;131,19;133,46;131,19;133,4;1298
30/11/2018;131,33;132,31;130,22;132,06;
31/10/2018;131,22;131,63;129,34;131,17;
28/09/2018;131,27;132,31;131,1;131,22;
31/08/2018;132,34;132,51;131,12;131,12;193
31/07/2018;132,66;133,2;132,13;132,21;113
29/06/2018;131,63;133,25;130,73;132,32;242
31/05/2018;133,32;134,09;130,06;131,41;1150
30/04/2018;134,09;134,24;132,32;133,83;370
30/03/2018;132,77;134,12;132,66;134,02;195
28/02/2018;132,48;133,01;132,19;132,55;3660
31/01/2018;133,25;133,55;132,45;132,5;140
29/12/2017;134,01;134,57;133,27;133,3;531
30/11/2017;133,87;134,34;133,74;133,9;522
31/10/2017;133,06;133,92;132,64;133,65;315
29/09/2017;133,41;133,86;132,83;133,06;34
31/08/2017;132,81;133,47;132,71;133,37;
31/07/2017;132,48;132,87;131,98;132,73;1482
30/06/2017;133;133,64;132,4;132,4;50
31/05/2017;132,47;133,08;131,95;132,74;9282
28/04/2017;132,03;132,67;131,38;132,44;146
31/03/2017;132,33;132,47;130,87;132,03;1354
28/02/2017;131,71;132,48;131,35;132,25;10038
31/01/2017;132,99;133,28;131,27;131,5;
30/12/2016;132,07;133,29;131,37;133,07;1061
30/11/2016;132,82;133;131,3;131,86;826
31/10/2016;133,27;134,1;132,65;132,72;295
30/09/2016;133,83;134,29;133,17;133,9;562
31/08/2016;133,91;134,26;133,39;133,85;905
29/07/2016;133,58;134,03;133,19;133,82;20
30/06/2016;132,71;133,7;132,33;133,31;216
31/05/2016;132,06;132,88;131,82;132,57;138
29/04/2016;132,55;132,74;131,84;132,05;133
31/03/2016;132,23;132,69;131,81;132,51;995
29/02/2016;131,85;132,44;131,15;132,28;137
29/01/2016;130,8;132,06;130,48;131,92;650
31/12/2015;131,39;131,75;130,1;130,72;208
30/11/2015;130,74;131,66;130,05;131,49;22976
30/10/2015;129,82;131,13;129,78;130,77;138
30/09/2015;128,67;129,84;128,67;129,72;800
31/08/2015;129,39;129,93;128,6;128,8;15
31/07/2015;128,36;129,64;127,73;129,48;194
30/06/2015;129,16;129,37;126,73;127,95;818
29/05/2015;129,61;129,86;128,44;129,24;51
30/04/2015;130,22;130,64;129,71;129,81;
31/03/2015;130,26;130,87;129,8;130,31;
27/02/2015;129,44;130,35;128,92;130,11;470
30/01/2015;129,01;129,76;128,15;129,38;400
31/12/2014;128,38;128,95;127,81;128,8;
28/11/2014;127,69;128,41;127,38;128,32;
31/10/2014;127,68;128,07;126,92;127,63;128
30/09/2014;127,51;128,05;127,09;127,71;196
29/08/2014;126,51;127,74;126,18;127,3;156
31/07/2014;125,54;126,62;125,49;126,28;32
30/06/2014;124,79;125,84;124,38;125,71;304
30/05/2014;123,83;124,89;123,64;124,64;440
30/04/2014;123,06;123,88;122,68;123,74;323
31/03/2014;122,22;123,31;122,18;123;1578
28/02/2014;121,65;122,53;121,49;122,21;
31/01/2014;119,65;121,79;119,65;121,79;
31/12/2013;120,41;120,41;119,43;119,64;
29/11/2013;119,81;120,58;119,51;120,26;
31/10/2013;118,26;119,87;118,25;119,78;130
30/09/2013;117,37;118,45;116,74;118,29;
30/08/2013;118,01;118,27;117,21;117,35;
31/07/2013;116,66;118,28;116,66;117,85;
28/06/2013;118,28;118,44;115,52;116,75;
31/05/2013;119,25;119,89;118,24;118,27;184
30/04/2013;117,19;119,41;117,19;119,22;514
29/03/2013;116,72;117,64;116,58;117,15;
28/02/2013;116,13;117,24;115,86;116,9;
31/01/2013;116,82;117,11;115,97;116,27;
31/12/2012;116,16;116,89;115,36;116,78;
30/11/2012;114,9;116,39;114,33;116,2;
31/10/2012;114,16;115,03;114,09;114,97;
28/09/2012;112,86;114,31;112,82;114,28;
31/08/2012;111,93;112,99;111,72;112,86;
31/07/2012;110,69;112,2;110,14;111,89;488
29/06/2012;110,46;111,2;109,21;110,63;
31/05/2012;110,42;111,24;109,64;110,54;
