Date;Open Price;High Price;Low Price;Last Price;CSBGE3 SW Equity (EUR) - Volume
29/03/2024;109,43;109,87;109,36;109,77;70959
29/02/2024;109,88;109,905;109,305;109,4;53809
31/01/2024;109,795;109,925;109,445;109,83;113471
29/12/2023;108,91;110;108,8801;109,83;98672
30/11/2023;107,945;108,91;107,945;108,735;175191
31/10/2023;107,43;108,02;107,285;107,99;106961
29/09/2023;107,68;107,68;106,95;107,385;37573
31/08/2023;107,3;107,68;107,155;107,56;36001
31/07/2023;107,025;107,33;106,555;107,2;92420
30/06/2023;107,28;107,3953;106,7;106,745;81878
31/05/2023;107,25;107,4163;106,86;107,315;115337
28/04/2023;106,94;107,36;106,62;107,04;43966
31/03/2023;105,9;107,515;105,755;106,9;168648
28/02/2023;106,58;106,885;105,96;106;97105
31/01/2023;106,24;106,88;106,24;106,54;73748
30/12/2022;107,055;107,2;106,16;106,16;41779
30/11/2022;106,83;107,06;106,355;106,895;51545
31/10/2022;106,6346;107,375;106,2;106,765;44090
30/09/2022;107,72;108,095;106,125;106,66;56111
31/08/2022;109,37;109,38;107,73;107,78;39166
29/07/2022;108,6133;109,18;108,145;108,955;72830
30/06/2022;108,9;108,92;107,26;108,54;130216
31/05/2022;109,22;109,52;108,8;108,88;48013
29/04/2022;109,76;109,98;109,21;109,23;33706
31/03/2022;110,48;110,92;109,8;109,86;57301
28/02/2022;110,73;110,9;109,98;110,62;30527
31/01/2022;110,88;111;110,78;110,81;6930
31/12/2021;111,16;111,58;110,98;110,98;19868
30/11/2021;111;111,38;110,88;111,28;778941
29/10/2021;111,24;111,42;111;111;6681
30/09/2021;111,46;111,5;111,2;111,28;16292
31/08/2021;111,52;111,66;111,42;111,46;3432
30/07/2021;111,22;111,56;111,22;111,46;11562
30/06/2021;111,36;111,5;111,34;111,38;13359
31/05/2021;111,52;111,52;111,24;111,34;2499
30/04/2021;111,5;111,66;111,3;111,54;26797
31/03/2021;111,4;111,76;111,38;111,62;8082
26/02/2021;111,66;111,8;111,44;111,44;8838
29/01/2021;111,9;111,9;111,62;111,66;8596
31/12/2020;111,86;112,02;111,82;111,84;16791
30/11/2020;111,96;112,04;111,84;111,96;34942
30/10/2020;111,82;111,98;111,78;111,96;16820
30/09/2020;111,64;111,86;111,28;111,78;33995
31/08/2020;111,74;111,76;111,68;111,68;1809
31/07/2020;111,64;111,78;111,16;111,74;17790
30/06/2020;111,56;111,68;111,38;111,68;9152
29/05/2020;111,42;111,48;111,12;111,48;6915
30/04/2020;111,36;111,48;110,8;111,36;13972
31/03/2020;111,94;112,08;109,94;111,34;34820
28/02/2020;112,1;112,1;111,98;112;12964
31/01/2020;112;112,1;111,9;112,1;6520
31/12/2019;112,04;112,12;111,96;112,06;25842
29/11/2019;112,24;112,24;112,04;112,08;14008
31/10/2019;112,42;112,54;112,16;112,26;14002
30/09/2019;112,66;112,66;112,32;112,44;16184
30/08/2019;112,32;112,64;112,18;112,64;10122
31/07/2019;112,26;112,44;112,24;112,32;32308
28/06/2019;112;112,28;111,9;112,2;15386
31/05/2019;111,96;112,04;111,84;111,96;11369
30/04/2019;112;112,04;111,88;111,96;12690
29/03/2019;111,76;112,06;111,76;112,02;22098
28/02/2019;111,78;111,86;111,6;111,8;8633
31/01/2019;111,88;111,96;111,7;111,88;17567
31/12/2018;111,62;111,9;111,62;111,82;91012
30/11/2018;111,4;111,66;111,2;111,6;53096
31/10/2018;111,18;111,4;110,9;111,36;26542
28/09/2018;111,12;111,54;111,12;111,18;9852
31/08/2018;111,56;111,56;111,06;111,14;31236
31/07/2018;111,66;111,86;111,6;111,62;39644
29/06/2018;111,34;112;110,92;111,64;116299
31/05/2018;112,4;112,4;110,34;111,34;116338
30/04/2018;112,54;112,54;112,36;112,38;39601
30/03/2018;112,24;112,48;112,16;112,4;53847
28/02/2018;112,22;112,36;112,18;112,22;89807
31/01/2018;112,4;112,4;112,18;112,24;86608
29/12/2017;112,5;112,61;112,22;112,22;33737
30/11/2017;112,4;112,55;112,38;112,47;68945
31/10/2017;112,25;112,37;112,18;112,35;52983
29/09/2017;112,27;112,36;112,04;112,29;30606
31/08/2017;112,25;112,29;112,17;112,23;16188
31/07/2017;112,13;112,26;112,05;112,26;3929
30/06/2017;112,12;112,32;112,1;112,11;7788
31/05/2017;111,98;112,19;111,98;112,13;10244
28/04/2017;111,94;111,98;111,86;111,96;14760
31/03/2017;111,84;111,98;111,71;111,91;14656
28/02/2017;111,87;111,97;111,8;111,9;1893
31/01/2017;112,16;112,16;111,88;111,88;3959
30/12/2016;111,57;112,18;111,57;112,18;2874
30/11/2016;111,83;111,91;111,51;111,58;16991
31/10/2016;112,08;112,08;111,77;111,77;8472
30/09/2016;112,03;112,07;111,89;112,01;1754
31/08/2016;111,99;112,04;111,97;112,04;2892
29/07/2016;112,22;112,22;111,94;111,98;6682
30/06/2016;111,99;111,99;111,4;111,96;8539
31/05/2016;111,95;112,13;111,85;111,92;29723
29/04/2016;111,84;111,9;111,74;111,87;9114
31/03/2016;111,88;111,96;111,78;111,95;6241
29/02/2016;111,82;111,9;111,53;111,85;45923
29/01/2016;111,83;111,88;111,69;111,83;14467
31/12/2015;111,91;111,97;111,55;111,74;24502
30/11/2015;111,63;111,92;111,52;111,91;6225
30/10/2015;111,61;111,83;111,51;111,79;3418
30/09/2015;111,34;111,64;111,33;111,58;2134
31/08/2015;111,54;111,67;111,33;111,34;6517
31/07/2015;111,05;111,6;110,99;111,55;1321
30/06/2015;111,5;111,51;110,8;110,88;8687
29/05/2015;111,38;111,53;111,36;111,4;9228
30/04/2015;111,56;111,64;111,31;111,53;8649
31/03/2015;111,31;111,52;111,26;111,52;9781
27/02/2015;111,15;111,51;110,94;111,42;17795
30/01/2015;110,81;111,33;110,73;111,01;14315
31/12/2014;110,6;110,88;110,47;110,77;5371
28/11/2014;110,67;111,1;109,87;110,83;8778
31/10/2014;110,8;110,96;110,32;110,66;23836
30/09/2014;110,75;111,08;110,62;110,91;38905
29/08/2014;110,44;111,2;110,44;110,87;14860
31/07/2014;110,43;110,75;110,41;110,68;20974
30/06/2014;110,19;110,59;110,17;110,44;17629
30/05/2014;110,01;110,36;109,93;110,32;23423
30/04/2014;109,91;110,21;109,87;110,11;9981
31/03/2014;109,8;110,13;109,78;110,06;20729
28/02/2014;108,9;109,98;109,59;109,77;38153
31/01/2014;107,82;109,78;109,28;109,78;113250
31/12/2013;109,41;109,45;109,03;109,23;95259
29/11/2013;109,1;109,5;108,99;109,34;68774
31/10/2013;108,49;109,19;108,49;109,07;43407
30/09/2013;108,21;108,76;108,15;108,56;175270
30/08/2013;108,31;108,58;108,25;108,46;59177
31/07/2013;108,15;108,62;107,97;108,47;37577
28/06/2013;108,35;108,53;107,55;108,09;362076
31/05/2013;108,58;108,81;108,35;108,45;28301
30/04/2013;107,85;108,66;107,85;108,58;19332
29/03/2013;107,69;108,08;107,59;107,99;23451
28/02/2013;107,46;107,9;107,42;107,64;109945
31/01/2013;107,64;107,96;107,47;107,5;38684
31/12/2012;107,64;108,17;107,2;107,5;89663
30/11/2012;107,05;107,55;106,98;107,47;78727
31/10/2012;106,96;107,21;106,52;107,11;59544
28/09/2012;106,55;107,04;106,3;106,87;28803
31/08/2012;105,39;106,42;105,39;106,23;30126
31/07/2012;104,73;105,62;104,3;105,22;34239
29/06/2012;104,7;105,23;104,18;104,96;16880
31/05/2012;105,04;105,67;104,29;104,73;24922
