Date	Open Price	High Price	Low Price	Last Price	HMJP LN Equity (EUR) - Volume
29/03/2024	37,6364	38,7572	36,7016	38,2983	161030
29/02/2024	35,6819	37,0595	35,4207	37,0128	36162
31/01/2024	33,8234	35,9035	33,7055	35,6514	56297
29/12/2023	33,2249	34,0301	33,059	33,9954	42983
30/11/2023	32,5156	33,2985	32,0386	33,0623	41801
31/10/2023	32,6682	32,9863	31,3766	32,0788	34429
29/09/2023	33,0018	34,2437	32,9209	32,9324	42182
31/08/2023	33,24	33,2516	31,284	32,6535	26284
31/07/2023	33,115	33,7703	32,1375	33,5672	63918
30/06/2023	32,4623	34,4665	32,2851	32,9023	29960
31/05/2023	30,5735	32,7089	30,4091	31,9805	72433
28/04/2023	31,1035	31,1494	30,3593	30,5911	108019
31/03/2023	30,2238	31,6587	29,9316	31,0319	154302
28/02/2023	30,6084	31,3236	30,344	30,4211	213689
31/01/2023	30,3947	31,31	29,4	30,9653	47276
30/12/2022	31,3617	31,3617	29,6652	29,7452	35439
30/11/2022	29,7204	31,4835	29,4246	30,9314	72193
31/10/2022	29,1212	29,8352	28,4905	29,2529	84280
30/09/2022	30,7705	30,9214	28,9903	29,104	118166
31/08/2022	32,228	32,5877	31,0224	31,057	47344
29/07/2022	29,3102	31,8755	29,3102	31,7322	98608
30/06/2022	31,4124	31,5413	28,8912	29,4406	66099
31/05/2022	31,2437	31,6813	30,1677	31,1619	100484
29/04/2022	32,3589	32,9182	30,5686	31,6805	66382
31/03/2022	32,6084	33,1491	30,6851	32,5037	152766
28/02/2022	32,8972	33,5639	31,7411	32,7395	182195
31/01/2022	35,1644	35,3594	32,0106	32,6613	142780
31/12/2021	34,256	35,3026	33,8817	34,3665	52568
30/11/2021	34,4976	35,7951	33,4209	33,6848	93110
29/10/2021	34,7415	34,7415	33,1599	34,067	124217
30/09/2021	33,7736	36,1569	33,7271	35,0281	56278
31/08/2021	33,0343	33,7406	32,6514	33,422	46298
30/07/2021	32,8902	33,7841	32,2894	32,6349	114549
30/06/2021	32,1815	33,4667	32,1699	33,0354	92929
31/05/2021	32,5764	33,0434	30,9674	32,5457	81387
30/04/2021	33,6408	33,7229	32,2203	32,3643	55808
31/03/2021	32,8295	34,2406	32,4824	33,7601	214914
26/02/2021	32,1675	34,4234	32,1675	32,6114	77656
29/01/2021	31,7201	33,3617	31,6884	31,8248	73470
31/12/2020	31,5282	32,1259	31,0619	32,1092	64154
30/11/2020	29,1661	31,9811	29,155	31,3495	75895
30/10/2020	29,0266	29,5632	28,6984	28,8322	55504
30/09/2020	28,1441	29,5499	27,785	29,0944	40737
31/08/2020	26,9796	28,6857	26,9796	28,1247	31738
31/07/2020	28,4435	29,0349	26,5291	26,5291	73856
30/06/2020	29,2418	29,431	28,0783	28,6326	182191
29/05/2020	26,659	29,4255	26,5941	28,6561	99911
30/04/2020	25,1871	28,5685	24,6252	27,348	162033
31/03/2020	27,517	27,8971	22,6247	26,1103	75462
28/02/2020	30,7456	31,7194	27,1205	27,3206	46552
31/01/2020	31,1148	31,5796	30,4331	30,4331	20282
31/12/2019	30,6971	31,6178	30,6971	30,7864	65451
29/11/2019	30,378	31,4018	30,378	31,0915	34010
31/10/2019	29,9222	30,2549	29,2004	30,1894	137658
30/09/2019	28,2281	30,2247	28,2281	29,843	47583
30/08/2019	28,5519	28,5849	27,0766	28,1231	50303
31/07/2019	28,5389	28,847	27,9955	28,2685	102387
28/06/2019	27,2166	28,3736	27,2095	27,9516	44725
31/05/2019	28,6183	28,8515	27,1003	27,2822	48945
30/04/2019	28,3605	28,6166	27,9725	28,5036	44821
29/03/2019	27,5138	28,1596	27,0849	28,0187	57445
28/02/2019	27,2675	28,0877	26,6417	27,5122	46651
31/01/2019	25,4405	27,6683	25,4405	27,2468	61372
31/12/2018	28,3482	28,6064	25,1909	25,8326	55373
30/11/2018	27,713	28,2358	27,1982	28,1625	66718
31/10/2018	30,0496	30,2524	27,0587	27,9762	63707
28/09/2018	28,8068	29,9941	28,1132	29,9492	69712
31/08/2018	29,1074	29,2109	28,4026	28,8909	80811
31/07/2018	28,4316	29,4812	28,1326	28,9287	48850
29/06/2018	29,8313	30,0662	28,8975	28,8975	58717
31/05/2018	28,9277	29,9885	28,8453	29,5166	35023
30/04/2018	28,1189	29,1202	27,8169	29,0804	94477
30/03/2018	28,489	28,6319	27,0977	28,3681	58541
28/02/2018	29,2169	29,3645	27,5176	28,9893	50588
31/01/2018	28,9048	30,5193	28,8991	29,1449	85210
29/12/2017	28,7992	29,6486	28,6869	29,0234	153966
30/11/2017	29,1746	29,9085	28,1455	29,0834	426310
31/10/2017	27,1891	29,0461	27,1609	28,9606	80421
29/09/2017	26,5849	27,3194	26,1716	27,1038	81681
31/08/2017	26,8732	27,0035	25,9917	26,4912	83047
31/07/2017	27,3527	27,404	26,6597	26,6597	133034
30/06/2017	27,7125	28,2346	27,2515	27,2515	226427
31/05/2017	27,6663	27,9273	27,0193	27,324	96428
28/04/2017	27,8402	27,8838	27,3845	27,4628	96971
31/03/2017	28,1212	28,3136	27,3197	27,7701	112726
28/02/2017	27,3038	28,3441	26,8144	27,8938	1030000
31/01/2017	27,3431	27,8638	26,949	26,949	170613
30/12/2016	26,8515	27,9772	26,3627	27,0497	127362
30/11/2016	26,1631	27,2056	25,5173	27,0501	132167
31/10/2016	25,5751	26,6058	25,3444	26,4291	53349
30/09/2016	25,227	26,2309	24,716	25,5345	183066
31/08/2016	24,9537	25,4691	24,283	25,1855	103113
29/07/2016	23,9176	25,1903	23,8184	24,7202	192233
30/06/2016	24,2002	24,2131	23,1855	23,9287	283779
31/05/2016	22,7803	24,2438	22,7694	24,2438	195756
29/04/2016	22,2687	25,0021	21,7568	22,9202	216694
31/03/2016	23,2755	24,1883	23,0372	23,1194	243492
29/02/2016	24,3196	24,3196	20,6891	23,1148	207249
29/01/2016	25,215	25,9512	22,6652	24,1914	148106
31/12/2015	27	27,0852	24,9691	25,6889	270456
30/11/2015	25,5028	27,2671	25,4678	26,7953	109892
30/10/2015	23,5367	25,991	23,2384	25,6756	150861
30/09/2015	23,9226	24,6314	22,652	23,2725	3210000
31/08/2015	26,7751	27,3496	22,3847	25,2149	111015
31/07/2015	26,8884	27,6667	25,8058	26,9067	161767
30/06/2015	27,5463	27,5915	25,7135	26,5596	228183
29/05/2015	26,1067	27,8258	25,8822	27,2006	217565
30/04/2015	26,4941	28,3122	26,3429	26,4489	301992
31/03/2015	25,2686	27,3992	25,2342	26,8033	388571
27/02/2015	23,5025	25,4965	23,1609	25,3288	636691
30/01/2015	21,7788	23,7132	21,2525	23,5087	1090000
31/12/2014	21,5325	21,9652	20,5284	21,6428	1320000
28/11/2014	22,0488	22,2152	21,0379	21,4526	330532
31/10/2014	21,2348	22,0426	19,4332	21,982	424041
30/09/2014	20,6516	21,563	20,6073	21,3766	279507
29/08/2014	20,4487	20,7422	19,8321	20,6054	368558
31/07/2014	20,4235	20,9232	20,0992	20,6442	531052
30/06/2014	19,7125	20,6051	19,6509	20,35	253322
30/05/2014	18,6152	19,4968	18,1594	19,4968	202550
30/04/2014	18,8045	19,2089	17,9153	18,259	340763
31/03/2014	19,0485	19,5208	18,1198	18,9739	1090000
28/02/2014	19,1021	19,6325	18,6638	19,2987	3810000
31/01/2014	20,3929	20,6047	19,2926	19,384	316042
31/12/2013	20,3512	20,4837	19,4692	20,3035	834844
29/11/2013	19,9027	20,844	19,8922	20,3833	256533
31/10/2013	20,136	20,259	19,4372	20,1124	125278
30/09/2013	19,2235	20,5891	19,2235	20,1166	293399
30/08/2013	20,0995	20,3088	18,8833	18,9184	169171
31/07/2013	20,1096	21,2593	19,2895	19,3542	265125
28/06/2013	18,7761	19,9664	18,2703	19,9548	667073
31/05/2013	20,251	22,1051	19,1503	19,3901	1700000
30/04/2013	18,6669	20,4342	18,6669	20,3492	442444
29/03/2013	18,11	19,4703	18,11	19,2854	1330000
28/02/2013	16,7184	17,9659	16,6298	17,9021	699997
31/01/2013	17,3045	17,5472	16,5338	16,8276	529636
31/12/2012	16,3435	17,0334	16,1715	16,9595	314836
30/11/2012	16,0816	16,4856	15,8548	16,3625	239367
31/10/2012	16,2293	16,2731	15,7435	15,9909	634536
28/09/2012	16,3057	16,6579	16,0299	16,3023	483388
31/08/2012	16,786	17,3772	16,4685	16,5379	327033
31/07/2012	17,174	17,5939	16,4574	16,8137	570204
29/06/2012	16,2077	17,1001	16,0899	17,1001	295955
31/05/2012	16,6704	16,7072	15,986	16,4895	362254
