Date;Last Price;Open Price;High Price;Low Price;SXR4 GY Equity - Volume
29/03/2024;492,53;477,67;493,09;471,97;10486
29/02/2024;474,98;455,21;477,27;453,04;12900
31/01/2024;454,82;438,45;459,81;431,45;23082
29/12/2023;437,83;422,83;440,02;422,7;10702
30/11/2023;420,42;397,76;421,86;397,29;12041
31/10/2023;396,13;409,49;417,6;391,58;3047
29/09/2023;409,64;417,25;425,52;406,83;7958
31/08/2023;418,08;418,93;418,98;400,83;9147
31/07/2023;416,87;408,62;419,27;400,24;6100
30/06/2023;406,82;391,47;407,12;388,81;4467
31/05/2023;390,12;377,15;394;366,33;2870
28/04/2023;373,98;377,92;378,28;366,6;6798
31/03/2023;374,53;372,83;380,38;354,94;6664
28/02/2023;373,93;371,82;386,75;369,27;15517
31/01/2023;370,09;359,76;372,17;357,35;9174
30/12/2022;354,69;388,34;388,34;352,59;3548
30/11/2022;379,91;389,19;390;371,22;7136
31/10/2022;388,42;364,06;388,99;364,06;9306
30/09/2022;370,84;389,26;404,01;369,12;2195
31/08/2022;392,41;399,02;420,1;392,41;12174
29/07/2022;397,1;353,57;397,1;353,57;3273
30/06/2022;356,65;381,12;383,84;344,33;10432
31/05/2022;379,34;390;399,99;356,7;12103
29/04/2022;396,83;408,2;414,5;388,22;8389
31/03/2022;410,24;388,41;413,53;371,71;10249
28/02/2022;387,33;396,92;401,95;364,01;18009
31/01/2022;394,65;420,21;424,58;374,11;15669
31/12/2021;421,48;406,37;423,3;397,51;15104
30/11/2021;406,84;399,63;421,24;398,02;10122
29/10/2021;398,38;369,81;398,41;368,76;7090
30/09/2021;375,98;385,15;385,56;372,29;6728
31/08/2021;384,57;374,16;385,3;370,66;10988
30/07/2021;371,52;363,8;375,4;359,05;9918
30/06/2021;362,85;343,12;362,9;341,09;7796
31/05/2021;341,82;347,7;347,7;330,79;14156
30/04/2021;346,85;339,63;348,33;338,44;10096
31/03/2021;338,1;319,58;338,1;312,46;81924
26/02/2021;317,5;309,75;328,14;308,8;32851
29/01/2021;307,7;309,39;319,22;300,31;38581
31/12/2020;304,71;304,33;307,91;299,29;10741
30/11/2020;300,23;278,93;305,76;278,93;16024
30/10/2020;277,16;285,03;297,98;275,31;29942
30/09/2020;284,16;289,48;299,05;272,29;43743
31/08/2020;288,66;274,75;291,72;272,73;30956
31/07/2020;269,5;271,63;282,06;267,88;43410
30/06/2020;267,65;268,99;278,72;256,18;49758
29/05/2020;264,27;249,47;270,05;247,83;40658
30/04/2020;258,67;221,29;264,1;218,8;30202
31/03/2020;231,89;259,37;269,93;197,545;49217
28/02/2020;256,9;283,38;304,38;253,07;42190
31/01/2020;282,56;278,74;292,12;276,87;31209
31/12/2019;278,92;275,65;281,28;266,88;38293
29/11/2019;275,09;262,06;276,33;262,02;25425
31/10/2019;260,97;263,79;263,79;252,67;27630
30/09/2019;262,06;254,73;263,59;253,24;36705
30/08/2019;255,11;258,66;261,32;242,91;42803
31/07/2019;259,72;251,54;261,02;250,9;15609
28/06/2019;246,81;234,69;250,7;233,31;16541
31/05/2019;237,55;249,71;251,1;236,18;32738
30/04/2019;250;242,47;251,84;241,91;22675
29/03/2019;240,47;234,85;240,73;231,51;20213
28/02/2019;233,99;225,31;236,35;224,48;22666
31/01/2019;224,34;205;224,34;204,04;15381
31/12/2018;207,71;235,01;235,01;201,73;18662
30/11/2018;229,31;226,2;233,79;218,48;24192
31/10/2018;227,41;239,48;240,48;219,31;51857
28/09/2018;237,95;237,3;238,11;234,15;6725
31/08/2018;236,59;228,34;237,05;227,53;8715
31/07/2018;227,62;219,61;231,44;219,61;14287
29/06/2018;222,16;219,64;227,79;219,335;24207
31/05/2018;219,95;208,48;221,23;205,06;30300
30/04/2018;208,76;197,995;209,33;196,98;29867
30/03/2018;201,51;209,77;213,56;197,855;28033
28/02/2018;211,15;213,43;213,45;196,53;52902
31/01/2018;213,37;208,9;217,99;208,08;30498
29/12/2017;210,79;207,97;213,93;205,67;16366
30/11/2017;207,92;207,57;209,76;203,13;11916
31/10/2017;206,83;200,54;208,43;200,54;17053
29/09/2017;199,08;194,71;199,8;190,66;17661
31/08/2017;194,05;195,67;197,6;187,77;35371
31/07/2017;195,55;198,68;200,55;195,55;8027
30/06/2017;197,99;199,91;204,92;197,72;12201
31/05/2017;199,43;203,7;205,26;196,66;8327
28/04/2017;203,38;205,84;207,32;202,38;26582
31/03/2017;205,74;208,88;211,11;198,38;33515
28/02/2017;206,89;196,34;208,89;194,68;16214
31/01/2017;194,53;198,21;201,99;194,53;25060
30/12/2016;197,85;191,31;202,16;189,33;21766
30/11/2016;193,19;179,31;193,19;173,58;19756
31/10/2016;179,54;178,7;182,7;177;9516
30/09/2016;178,25;179,7;180,37;173,17;9179
31/08/2016;179,1;179,68;181,47;176,47;4488
29/07/2016;178,97;173,21;182,19;172,51;11282
30/06/2016;172,32;171,72;172,73;166,77;8075
31/05/2016;172,57;164,78;173,1;162,75;31359
29/04/2016;164,04;164,69;170,44;164;26795
31/03/2016;165,46;163,07;167,54;161,03;7228
29/02/2016;164,14;161,6;164,14;145,18;67048
29/01/2016;161,32;168,63;171,95;152,7;131466
31/12/2015;173,3;179,64;181,2;165,01;162751
30/11/2015;180,26;170,93;180,65;170,93;52846
30/10/2015;172,46;158,02;173,64;154,29;46972
30/09/2015;156,12;156,45;162,67;152,28;151821
31/08/2015;160,99;174,13;176,77;147,71;65734
31/07/2015;174,21;169,71;179,1;168,83;36687
30/06/2015;168,47;174,83;175,73;167;75240
29/05/2015;174,58;169,38;177,49;165,34;42210
30/04/2015;170,22;173,93;181,03;169,27;90364
31/03/2015;175,63;170,71;178,43;168,01;82017
27/02/2015;170,39;159,4;170,9;158;89368
30/01/2015;160,41;154,76;165,77;151,57;82509
31/12/2014;154,67;149;154,81;141,59;104625
28/11/2014;150,2;144,95;150,2;143,48;93752
31/10/2014;144,44;140,65;144,44;128,78;83181
30/09/2014;141,35;136,98;141,67;136,72;20941
29/08/2014;136,98;129,27;136,98;127,49;28898
31/07/2014;130,36;128,7;132,61;128,6;20577
30/06/2014;128,5;126,56;129,76;126,27;14069
30/05/2014;126,15;121,64;126,2;120,11;16521
30/04/2014;120,98;121,76;124,54;117,21;20374
31/03/2014;121,23;119,49;122,16;118,58;24720
28/02/2014;120,97;117,6;121,17;115,15;24590
31/01/2014;117,99;119,3;121,55;116,26;24182
31/12/2013;118,84;118,55;119,3;114,79;41074
29/11/2013;118,35;115,6;118,91;115,6;31856
31/10/2013;115,35;110,88;115,35;108,54;62155
30/09/2013;110,54;110,67;113,57;110,35;34285
30/08/2013;109,63;113,4;114,2;108,17;70493
31/07/2013;112,84;109,07;114,24;109,07;84503
28/06/2013;109,35;110,51;110,68;105,09;79420
31/05/2013;112,44;105,91;114,92;105,91;83891
30/04/2013;106,51;107,54;107,98;104,13;72923
29/03/2013;107,42;101,9;107,51;101,78;76801
28/02/2013;102,01;96,63;102,01;96,48;141561
31/01/2013;96,79;96,15;98,6;96,15;145834
31/12/2012;93,54;95,11;96,6;93,23;55955
30/11/2012;94,97;95,61;97,49;92,45;81426
31/10/2012;94,68;97,85;98,22;94,64;62855
28/09/2012;97,43;97,59;98,85;96,83;89544
31/08/2012;97,63;97,64;100,2;96,93;105247
31/07/2012;97,71;93,84;98,18;93,61;164327
29/06/2012;92,84;91,17;93,02;88,38;48082
31/05/2012;91,72;92,24;92,63;88,62;9398
