Date;Last Price;Open Price;High Price;Low Price;UBUT GY Equity - Volume
29/03/2024;45,195;44,39;45,635;43,745;303056
29/02/2024;44,14;41,905;44,445;41,685;485361
31/01/2024;41,96;40,19;42,455;39,36;338644
29/12/2023;40,075;38,66;40,43;38,66;360252
30/11/2023;38,455;36,095;38,795;36,04;367520
31/10/2023;36,03;37,09;38,195;35,61;521681
29/09/2023;37,04;38,295;38,88;36,605;213519
31/08/2023;38,35;38,225;38,395;36,28;136641
31/07/2023;37,975;37,06;38,265;36,12;304190
30/06/2023;36,91;35,735;36,97;35,535;291258
31/05/2023;35,64;33,73;36,135;32,84;237025
28/04/2023;33,275;33,315;33,54;32,345;79523
31/03/2023;33,09;31,97;33,09;31,085;325797
28/02/2023;32,08;31,78;33,24;31,605;74319
31/01/2023;31,825;31,13;31,985;30,835;189704
30/12/2022;30,765;33,445;33,445;30,645;105411
30/11/2022;32,57;32,78;33,04;31,35;439744
31/10/2022;32,78;30,865;32,9;30,32;147731
30/09/2022;31,52;33,115;34,195;31,26;154821
31/08/2022;33,425;34,585;36,3;33,385;152785
29/07/2022;34,595;30,99;34,6;30,99;146099
30/06/2022;31,32;33,14;33,385;30,015;96080
31/05/2022;32,985;34,03;34,935;30,945;746276
29/04/2022;34,65;35,6;36,145;33,495;53395
31/03/2022;35,815;33,73;35,975;32,22;69093
28/02/2022;33,655;35,285;35,68;31,445;79784
31/01/2022;35,155;38,215;38,41;33,205;230491
31/12/2021;38,455;36,97;38,655;36,025;135017
30/11/2021;36,92;36,01;38,31;35,72;83112
29/10/2021;35,85;33,35;35,85;32,94;52127
30/09/2021;33,875;35,33;35,38;33,655;76587
31/08/2021;35,28;34,18;35,415;33,84;67651
30/07/2021;34,075;33,06;34,61;32,955;139366
30/06/2021;33,02;30,575;33,02;30,34;43593
31/05/2021;30,48;30,87;30,94;29,56;26383
30/04/2021;30,8;30,24;31,175;30,24;39780
31/03/2021;30,22;28,495;30,22;27,68;48223
26/02/2021;28,225;27,68;29,345;27,67;46227
29/01/2021;27,675;28,085;28,745;27,37;76436
31/12/2020;27,78;27,955;28,075;27,21;73220
30/11/2020;27,525;25,875;28,735;25,875;144275
30/10/2020;25,675;26,74;27,8;25,565;47801
30/09/2020;26,67;26,89;27,96;25,41;562101
31/08/2020;26,89;25,495;27,17;25,14;81974
31/07/2020;25,1;25,385;26,635;24,97;61972
30/06/2020;25,22;25,505;26;24,04;127632
29/05/2020;25,135;23,67;25,715;23,62;69091
30/04/2020;24,465;21,08;25,01;20,86;35040
31/03/2020;22,23;24,025;24,73;19,092;78293
28/02/2020;23,53;25,88;27,805;23,135;61653
31/01/2020;25,785;25,43;26,92;25,12;42148
31/12/2019;25,395;24,915;25,64;24,155;16061
29/11/2019;24,855;23,54;24,97;23,54;5045
31/10/2019;23,465;23,53;23,715;22,545;7077
30/09/2019;23,36;22,78;23,6;22,745;27038
30/08/2019;22,815;23,05;23,395;21,55;30821
31/07/2019;23,205;22,33;23,435;22,25;5680
28/06/2019;21,905;20,85;22,37;20,555;10203
31/05/2019;21,1;22,24;22,4;21,035;29388
30/04/2019;22,34;21,53;22,71;21,53;7027
29/03/2019;21,365;20,555;21,365;20,46;7322
28/02/2019;20,47;19,45;20,61;19,406;16813
31/01/2019;19,376;17,766;19,376;17,766;772
31/12/2018;18,108;20,18;20,18;17,532;7224
30/11/2018;19,718;19,706;20,165;18,75;8209
31/10/2018;19,716;20,83;20,87;19,156;2617
28/09/2018;20,645;20,595;20,645;20,215;8504
31/08/2018;20,485;19,65;20,485;19,6;8643
31/07/2018;19,57;19,131;20,1;19,066;19008
29/06/2018;19,212;19,25;19,726;19,022;12837
31/05/2018;19,108;17,99;19,192;17,7;7164
30/04/2018;17,94;17,336;17,964;17,336;2628
30/03/2018;17,584;18,152;18,538;17,272;28638
28/02/2018;18,328;18,27;18,494;17,164;6236
31/01/2018;18,352;18,016;18,786;18,016;1901
29/12/2017;18,13;17,66;18,44;17,66;1242
30/11/2017;17,86;17,9;18,01;17,62;2606
31/10/2017;17,72;16,97;17,83;16,97;3372
29/09/2017;16,77;16,37;16,78;16,18;35612
31/08/2017;16,32;16,34;16,53;15,92;2730
31/07/2017;16,34;16,79;16,92;16,34;30202
30/06/2017;16,67;17,14;17,33;16,61;82665
31/05/2017;17,08;17,33;17,46;16,72;69440
28/04/2017;17,28;17,3;17,39;17,13;1356
31/03/2017;17,35;17,5;17,65;16,9;54639
28/02/2017;17,36;16,29;17,41;16,28;
31/01/2017;16,2;16,6;16,82;16,2;107775
30/12/2016;16,66;16,06;17,01;15,95;65377
30/11/2016;16,32;15,07;16,38;14,83;19510
31/10/2016;15,32;15,29;15,57;15,2;70779
30/09/2016;15,23;15,17;15,33;14,83;41539
31/08/2016;15,26;15,3;15,49;15,07;26489
29/07/2016;15,26;14,76;15,57;14,73;1395
30/06/2016;14,68;14,81;14,82;14,24;319051
31/05/2016;14,81;14,23;14,94;14,1;128559
29/04/2016;14,16;14,57;14,89;14,16;869693
31/03/2016;14,54;14,57;14,76;14,09;91185
29/02/2016;14,49;14,32;14,49;12,83;13434
29/01/2016;14,26;14,85;15,1;13,61;345
31/12/2015;15,28;15,74;15,86;14,6;330
30/11/2015;15,79;15,11;15,82;15;315
30/10/2015;15,12;13,5;15,18;13,46;330
30/09/2015;13,55;13,61;13,68;13,25;
