Date;Open Price;High Price;Low Price;Last Price;IUST GY Equity (EUR) - Volume
29/03/2024;215,18;217,09;212,7;217,03;7882
29/02/2024;217,9;218,17;212,81;215,28;10698
31/01/2024;212,14;216,51;211,88;216,42;22355
29/12/2023;210,05;215,46;209,63;211,75;26458
30/11/2023;210,48;212,62;206,92;209,7;23739
31/10/2023;211,6;213,65;208,57;211,14;17253
29/09/2023;210,65;214,01;210,25;212,17;11269
31/08/2023;210,01;211;206,98;210,6;27857
31/07/2023;211,76;212,29;205,28;209,26;44744
30/06/2023;216,25;216,81;210,25;211,05;128276
31/05/2023;211,97;217,04;211,94;216,94;34751
28/04/2023;215,87;216,79;211,84;212,23;35471
31/03/2023;213,12;220,91;211,92;214,83;40043
28/02/2023;211,91;214,94;210,89;213,62;12819
31/01/2023;212,21;216,16;210,8;212,1;28839
30/12/2022;220,38;221,36;211,57;211,76;20917
30/11/2022;226,68;228,53;215,4;218,76;28435
31/10/2022;226,66;230,08;221,09;227,34;25469
30/09/2022;237,36;239,57;226,63;227,23;29772
31/08/2022;239,22;243,28;232,07;237,49;30047
29/07/2022;224,38;240,23;223,73;240,04;48353
30/06/2022;225,56;230,22;221,84;224,86;35484
31/05/2022;231,56;232,96;224,09;225,86;41308
29/04/2022;225,39;234,78;224,12;233,84;37103
31/03/2022;227,5;239,77;224,4;226,8;65687
28/02/2022;224,75;228,88;215,72;225,5;35377
31/01/2022;228,53;228,53;219,81;225,38;44673
31/12/2021;227,64;229,63;225,86;227,74;42892
30/11/2021;221,63;230,85;219,6;228,69;57554
29/10/2021;218,57;223,14;217,81;221,11;35282
30/09/2021;215,51;218,14;213,89;217,64;31128
31/08/2021;214,67;217,74;214,33;215,96;41372
30/07/2021;209,44;216,1;209,04;215,06;24873
30/06/2021;201,29;209,59;200,99;209,59;22104
31/05/2021;202,44;204,66;199,99;201,52;21068
30/04/2021;204,93;204,93;200,35;202,28;16383
31/03/2021;198,785;205,17;198,48;204,65;34037
26/02/2021;202,15;204,69;195,385;196,665;32212
29/01/2021;199,405;202,99;197,405;202,25;34270
31/12/2020;202,58;202,58;198,205;198,265;47389
30/11/2020;205,54;206,39;199,525;202,26;34504
30/10/2020;204,89;206,23;202;204,98;34233
30/09/2020;201,79;206,82;201,13;205,12;37401
31/08/2020;203,7;204,74;200,25;201,67;36461
31/07/2020;207,72;209,46;200,72;201,74;33247
30/06/2020;208,37;209,15;201;207,99;32856
29/05/2020;210,03;214,3;207,34;208,08;26726
30/04/2020;205,58;214,61;203,72;211,29;48675
31/03/2020;205,63;208,58;185,79;204,12;81947
28/02/2020;202,85;209,44;201,88;206,6;55896
31/01/2020;196,225;203,33;196,07;202,45;34559
31/12/2019;198,18;198,95;195,785;196,33;21291
29/11/2019;195,9;199,95;195,62;198,875;22489
31/10/2019;200,4;201,27;194,935;196,18;24181
30/09/2019;201,76;202,76;195,78;200,09;92914
30/08/2019;195,015;201,99;193,965;201,9;88473
31/07/2019;189,795;194,25;189,53;193,985;33620
28/06/2019;191,365;191,885;188,045;188,86;21012
31/05/2019;186,835;191,215;185,905;190,98;25762
30/04/2019;185,845;188,34;183,665;187,055;15694
29/03/2019;180,28;186,3;179,825;186,08;26176
28/02/2019;179,54;182,155;178,385;179,95;21924
31/01/2019;176,21;179,17;176,21;178,945;12474
31/12/2018;176,7;179,63;176,12;176,485;24683
30/11/2018;176,175;178,24;174,41;177,695;28350
31/10/2018;175,5;177,225;173,385;177,225;18156
28/09/2018;177,3;177,62;172,295;175,335;55866
31/08/2018;174,755;181,355;174,32;177,5;14925
31/07/2018;176,645;177,33;173,735;174,62;30791
29/06/2018;174,21;177,84;171,67;176,185;23570
31/05/2018;169,625;176,775;168,675;175,175;21464
30/04/2018;165,25;168,635;164,51;168,635;22086
30/03/2018;165,805;166;162,605;165,82;32814
28/02/2018;163,715;165,25;160,42;164,825;29209
31/01/2018;170,495;171,965;163,125;163,685;84694
29/12/2017;171,24;174,31;170,94;170,94;36088
30/11/2017;174,47;176,9;170,91;171,01;45645
31/10/2017;172,57;175,15;170,89;174,6;29651
29/09/2017;171,83;173,57;169,71;171,91;34755
31/08/2017;170,72;173,68;169,39;171,88;19074
31/07/2017;177,19;177,69;171,32;171,37;25626
30/06/2017;180,82;181,57;176,46;176,56;24572
31/05/2017;185,13;185,99;179,92;180,5;35732
28/04/2017;189,72;191,82;185;186,06;36727
31/03/2017;191,14;191,29;185,51;188,46;35788
28/02/2017;186,08;191,87;185,86;190,41;58698
31/01/2017;189,94;192,38;186,25;186,25;75948
30/12/2016;187,65;190,82;183,8;188,52;39151
30/11/2016;185,34;189,5;182,5;188,39;101070
31/10/2016;183,41;188,49;181,38;185,88;41115
30/09/2016;182,81;184,03;179,46;182,42;31502
31/08/2016;183,05;184,13;179,51;182,75;59539
29/07/2016;184,1;186,46;182,81;183,11;10841
30/06/2016;177,7;183,5;175,77;182,75;15391
31/05/2016;174,43;178,62;172,5;178,14;7478
29/04/2016;175,02;176,52;174,16;174,16;13608
31/03/2016;179,63;179,98;173,51;174,94;47887
29/02/2016;178,46;179,76;170,48;179,76;35341
29/01/2016;174,85;178,93;174,85;178,93;7104
31/12/2015;181,11;182,09;172,39;173,49;20406
30/11/2015;174,13;182,26;173,65;182,26;20106
30/10/2015;172,14;175,23;169,07;174,39;61963
30/09/2015;171,21;173,31;168,19;171,67;13750
31/08/2015;177,46;178,49;166,93;172,14;2922
31/07/2015;174,31;179,19;173,78;176,49;19789
30/06/2015;178,94;178,94;169,47;174,46;6654
29/05/2015;177,3;179,72;170,71;178,55;4088
30/04/2015;184,32;187,5;176,37;176,37;20196
31/03/2015;176,33;184,54;175,63;183,19;25273
27/02/2015;177,44;177,44;170,62;176,14;37302
30/01/2015;161,86;177,82;161,86;177,82;43436
31/12/2014;157,46;159,62;156,06;159,47;3592
28/11/2014;156,5;157,77;155,04;156,62;11302
31/10/2014;154,79;156,73;153,6;154,86;33131
30/09/2014;150,91;153,74;149,21;153,74;5707
29/08/2014;147,95;151,6;147,71;151,6;14552
31/07/2014;144;148,43;143,15;147,95;22706
30/06/2014;144,85;145,48;142,54;144,5;4895
30/05/2014;139,9;145,6;138,76;144,57;9667
30/04/2014;137,63;139,65;137,38;138,92;4414
31/03/2014;139,08;139,36;136,86;137,91;1288
28/02/2014;140,9;141,57;137,67;138,08;5553
31/01/2014;135,05;141,05;135,05;141,05;21338
31/12/2013;139,24;139,24;134,2;135,05;8373
29/11/2013;140,94;142,41;138,85;138,85;5366
31/10/2013;139,92;140,79;138,64;140,62;12846
30/09/2013;141,74;141,74;139,08;140,46;7274
30/08/2013;143,48;144,32;138,44;142,44;5124
31/07/2013;145,21;147,54;142,22;142,22;13779
28/06/2013;151,63;151,63;140,5;144,92;14272
31/05/2013;156,64;157,98;151,43;151,8;6693
30/04/2013;159,99;160,11;156,4;156,64;4746
29/03/2013;156,2;160,26;154,84;159,44;14871
28/02/2013;148,76;156,25;148,76;155,93;6505
31/01/2013;164,55;164,55;149,48;149,96;4516
31/12/2012;159,12;161,97;154,3;156,6;7027
30/11/2012;158,58;163,35;158,28;158,98;10489
31/10/2012;159,03;160,1;155,19;158,79;14454
28/09/2012;161,12;162,63;154,41;159,33;16072
31/08/2012;165,6;168,27;159,31;161,09;16799
31/07/2012;159,94;169,04;159,11;165,55;21003
29/06/2012;164,11;164,11;157,78;157,93;27635
31/05/2012;149,29;163,41;149,29;163,01;12750
