Date;Open Price;High Price;Low Price;Last Price;CSBGU3 IM Equity (EUR) - Volume
29/03/2024;105,43;106,15;104,33;105,9;154072
29/02/2024;106,1;106,49;104,77;105,48;113605
31/01/2024;103,27;105,77;103,25;105,55;139551
29/12/2023;103,62;105,12;102,42;103,18;205088
30/11/2023;105,72;106,01;102,43;103,42;186312
31/10/2023;105,03;106,23;104,37;105,68;165159
29/09/2023;102,65;105,75;102,52;105,18;70537
31/08/2023;100,95;103,2;100,58;102,58;89491
31/07/2023;101,4;101,67;98,54;100,53;215563
30/06/2023;104;104,07;100,51;101,23;134578
31/05/2023;101,24;104,17;101;104,09;153513
28/04/2023;102,63;102,91;100,68;100,94;99365
31/03/2023;102,78;105,93;101,63;102,2;631853
28/02/2023;101,66;103,79;100,33;103,07;218173
31/01/2023;102,41;104,18;100,88;101,4;445858
30/12/2022;105,01;105,01;102,2;102,41;170712
30/11/2022;109,21;111,18;103,97;105,57;202042
31/10/2022;110,91;112,35;107,81;109,76;480175
30/09/2022;109,7;113,93;107,71;111,04;527429
31/08/2022;108,32;111,34;106,53;109,29;153898
29/07/2022;105,68;110,45;105,54;108,63;173737
30/06/2022;103,51;106,18;102,5;105,44;140815
31/05/2022;104,65;106,93;103;103,52;218413
29/04/2022;100,09;105,49;100,08;104,82;142195
31/03/2022;100,25;103,99;99,31;99,96;245146
28/02/2022;100,33;101,4;97,74;100,23;231913
31/01/2022;100,33;101,49;98,8;100,85;174847
31/12/2021;100,41;101,31;100,13;100,47;86171
30/11/2021;98,59;101,74;98,2;101,1;195023
29/10/2021;98,84;99,27;97,68;98,71;154411
30/09/2021;97,03;98,91;96,33;98,77;91886
31/08/2021;96,38;98,15;96,37;97,07;80678
30/07/2021;96,5;97,46;96,28;96,62;108632
30/06/2021;93,65;96,48;93,55;96,48;161799
31/05/2021;95,18;95,54;93,43;93,73;115376
30/04/2021;97,68;97,68;94,33;95,18;113573
31/03/2021;94,95;97,7;94,66;97,53;211388
26/02/2021;94,48;95,7;93,45;94,62;51530
29/01/2021;93,38;95,01;92,74;94,35;88279
31/12/2020;95,71;95,71;93,17;93,25;89474
30/11/2020;98,47;98,47;95,4;95,78;67950
30/10/2020;97,49;98,23;96,43;98,23;70361
30/09/2020;95,53;98,57;95,42;97,48;72413
31/08/2020;97,41;97,68;95,7;95,81;66543
31/07/2020;101,8;102,16;96,25;96,89;96882
30/06/2020;102,61;102,99;100,35;101,79;87584
29/05/2020;104,47;106,07;102,63;102,83;74306
30/04/2020;103,79;106,45;103,79;104,42;83820
31/03/2020;101,87;107,06;99,24;102,81;150199
28/02/2020;101;103,54;100,87;102,41;103154
31/01/2020;99,19;101,42;99,09;100,77;84349
31/12/2019;100,56;100,67;98,99;98,99;81712
29/11/2019;99,48;100,88;99,24;100,58;69302
31/10/2019;101,45;101,49;99,05;99,48;95381
30/09/2019;100,82;101,5;99,27;101,44;55581
30/08/2019;99,5;100,69;98,39;100,69;109479
31/07/2019;97,05;98,96;96,79;98,77;88264
28/06/2019;98,01;98,1;96,42;96,57;101763
31/05/2019;96,73;98,12;96,62;98,02;330436
30/04/2019;96,34;97,52;95,58;96,9;61741
29/03/2019;94,78;96,68;94,58;96,54;119705
28/02/2019;93,99;95,65;93,64;94,55;129219
31/01/2019;93,72;94,88;92,94;93,91;401694
31/12/2018;93,76;94,6;93,2;93,7;169675
30/11/2018;93,62;94,58;92,31;94,07;159816
31/10/2018;91,5;93,78;91,22;93,78;54971
28/09/2018;91,38;91,93;89,8;91,22;149587
31/08/2018;90,55;93,32;90,53;91,44;118733
31/07/2018;90,89;91,24;89,88;90,41;54635
29/06/2018;90,52;91,74;89,28;90,69;137789
31/05/2018;88,05;91,74;87,91;90,76;89724
30/04/2018;85,75;87,41;85,18;87,33;136461
30/03/2018;86,44;86,56;84,7;85,91;200208
28/02/2018;84,6;86,39;84,18;86,36;133842
31/01/2018;87,78;88,69;84,4;84,82;116534
29/12/2017;88,9;90,24;88,16;88,16;30954
30/11/2017;91,2;91,81;88,71;88,92;55122
31/10/2017;90,5;91,62;89,56;91,14;33278
29/09/2017;89,51;90,57;88,29;89,86;116384
31/08/2017;89,78;90,92;88,24;89,6;28842
31/07/2017;93,01;93,6;90,1;90,13;85199
30/06/2017;94,48;95,31;92,78;92,93;91576
31/05/2017;97,05;97,5;94,34;94,42;21901
28/04/2017;99,13;100,04;96,91;97,26;95710
31/03/2017;100,23;100,38;97,14;98,96;144244
28/02/2017;97,85;100,79;97,78;99,71;12796
31/01/2017;100,82;101,61;97,98;97,98;34108
30/12/2016;99,3;101,61;97,82;100,02;13898
30/11/2016;96,25;100,1;95,35;99,83;49851
31/10/2016;94,43;97,56;94,43;96,7;30820
30/09/2016;95,1;95,39;93,7;94,43;50079
31/08/2016;95,08;95,85;93,56;95,1;36205
29/07/2016;95,71;96,65;95,02;95,02;14463
30/06/2016;94,5;96,63;92,84;95,65;23016
31/05/2016;92,09;94,88;91,19;94,88;34329
29/04/2016;92,66;93,96;92,26;92,35;7807
31/03/2016;97,12;97,31;92,81;92,81;46560
29/02/2016;97,19;97,19;93,26;97,16;31832
29/01/2016;96,64;97,91;96,12;97,53;8294
31/12/2015;98,97;99,3;95,12;96,08;5339
30/11/2015;95,37;99,39;95,34;99,39;8387
30/10/2015;94,16;96,03;92,1;95,5;5438
30/09/2015;93,48;94,72;92,12;94,37;28045
31/08/2015;95,9;96,8;90,63;93,95;6862
31/07/2015;94,58;97;94,04;95,22;21880
30/06/2015;95,85;96,43;92,03;94,42;8492
29/05/2015;94,1;97,01;91,98;95,79;12781
30/04/2015;97,47;99,62;93,75;93,75;18884
31/03/2015;93,65;99,95;93,38;97,81;52148
27/02/2015;92,71;93,4;91,44;93,4;22444
30/01/2015;86,85;93,58;86,85;93,05;20449
31/12/2014;84,13;86,06;83,48;85,93;19361
28/11/2014;83,84;84,71;83,37;84,28;16088
31/10/2014;82,8;83,63;81,82;83,63;18290
30/09/2014;79,8;82,95;79,56;82,76;5282
29/08/2014;77,83;79,48;77,83;79,48;15789
31/07/2014;76,37;78,02;76,37;77,99;3096
30/06/2014;76,79;77,25;76,33;76,33;9998
30/05/2014;75,6;76,93;74,94;76,65;4409
30/04/2014;75,61;77;75,2;75,28;2873
31/03/2014;75,88;76,02;74,94;75,64;4970
28/02/2014;77,22;77,38;75,63;75,63;2443
31/01/2014;76,32;77,58;76,21;77,33;2084
31/12/2013;76,98;77,06;75,43;75,43;12396
29/11/2013;77,22;78,14;76,71;76,71;5729
31/10/2013;77,05;77,26;75,58;76,75;2717
30/09/2013;78,81;79,09;76,84;77;3202
30/08/2013;78,69;78,87;77,48;78,87;6531
31/07/2013;79,8;81,37;78,45;78,45;4383
28/06/2013;79,57;80,03;77,67;79,99;5413
31/05/2013;79,94;81,27;79,05;80,37;1335
30/04/2013;81,18;81,18;79,16;79,16;1676
29/03/2013;80,27;81,66;79,52;81,22;921
28/02/2013;76;79,77;76;79,61;25915
31/01/2013;78,92;79,82;76,68;76,71;903
31/12/2012;79,63;80,5;78,47;78,7;600
30/11/2012;80,35;81,89;79,95;79,95;2251
31/10/2012;80,555;80,87;79,257;80,22;7192
28/09/2012;82,634;83,17;79,147;80,9495;32948
31/08/2012;84,677;85,81;82,47;82,6295;21023
31/07/2012;82,6235;86,178;82,445;84,49;43069
29/06/2012;84,23;84,23;81,75;81,944;9188
31/05/2012;79,14;84,18;79,11;84,18;6472
